title,composer,performances,wins,win_rate_percent,avg_points,duration_minutes,difficulty,category,windrep_url
Homenaje a Joaquìn Sorolla Cuados Sinfònicos,Bernardo Adam Ferrero,3,0,0.0,89.0,,,,
Les Trois Notes du Japon,Mashima Toshio,1,1,100.0,96.0,,,,
Dance Suite,"Bela Bartok, arr. Eiji Suzuki",3,0,0.0,91.33,,,,
The Kings Go Forth,Edward Gregson,1,0,0.0,93.0,,,,
Terra Australis,Martin Ellerby,1,0,0.0,92.0,,,,
"Tales and Legends, 1. og 3. sats",Etienne Crausaz,1,0,0.0,89.0,,,,
Paris Sketches,Martin Ellerby,14,1,7.14,88.46,,,,
Symphonic Songs for Band,Robert Russell Bennett,4,0,0.0,89.0,,,,
Elements of Nature,Hermann Pallhuber,2,0,0.0,86.5,,,,
Fanfares and Fantasies,Stig Nordhagen,1,0,0.0,85.0,,,,
Egmont,Bert Appermont,4,1,25.0,86.5,,,,
Nitro,Frank Ticheli,1,0,0.0,84.0,,,,
Greek Dances - Enas Aitos,Nikos Skalottas,1,0,0.0,84.0,,,,
"Hymn to the Sun - With the Beat of Mother Earth, New version 2010",Satoshi Yagisawa,2,1,50.0,94.5,,,,
The Tragedy of 1904,Tom Gontier,1,0,0.0,96.0,,,,
The Speed of Heat,Julie Giroux,1,0,0.0,94.0,,,,
Danceries,Kenneth Hesketh,2,0,0.0,89.0,,,,
Terra Mystica,Thomas Doss,2,0,0.0,88.0,,,,
"Tanczi, 1. Trepak 2. Garavot 3. Troika",Jan Van der Roost,3,0,33.33,88.5,,,,
Symphonic Overture,James Barnes,13,1,7.69,88.23,,,,
Suite Francaise,Darius Milhaud,1,0,0.0,83.0,,,,
Highlands and Lowlands,Magnus Hylander,1,0,0.0,83.0,,,,
Invictus,Philip Sparke,2,0,0.0,87.0,,,,
Praise Jerusalem,Alfred Reed,1,0,0.0,90.0,,,,
Golden Land,Saul Gomez Soler,1,0,0.0,88.0,,,,
Gallimaufry,Guy Woolfenden,6,0,16.67,86.67,,,,
Tower of Babel,Hayato Hirose,2,1,50.0,89.5,,,,
Balkanya,Jan van der Roost,4,0,0.0,93.0,,,,
Fields of Honour,Thierry Deleruyelle,1,0,0.0,85.5,,,,
Deliverance,Etienne Crausaz,4,0,0.0,89.25,,,,
Breaking Point,Brian Balmages,1,0,0.0,91.0,,,,
Lord Tullamore,Carl Wittrock,2,0,0.0,86.5,,,,
Tognum Power,Jerker Johansson,1,0,0.0,86.0,,,,
Diogenes,Jacob de Haan,1,0,0.0,84.0,,,,
Heaven's Light,Steven Reineke,1,0,0.0,83.0,,,,
"Zehn Märsche, um den Sieg zu verfehlen, Marsch 3: Vivace",Mauricio Kagel,1,1,100.0,99.0,,,,
Hymn to the Fallen,John Williams,1,0,0.0,93.0,,,,
Rikudim,Jan Van der Roost,4,0,0.0,87.88,,,,
Diagram for Symphonic Band,André Waignein,3,0,33.33,91.33,,,,
Siracusa,Juan A. Perez,1,0,0.0,85.0,,,,
Into the Joy of Spring,James Swearingen,3,0,0.0,86.0,,,,
Highlights from La La Land,Justin Hurwitz,1,0,0.0,80.0,,,,
Daphnis and Chloe (Second Suite),"Maurice Ravel, arr. Mark H. Hindsley",1,0,0.0,95.17,,,,
Toccata and Fugue in D minor,"J. S. Bach, arr. Donald Hunsberger",1,0,0.0,94.83,,,,
Continental divide,Stig Nordhagen,2,0,0.0,92.59,,,,
Bachseits,Johannes Stert,2,0,0.0,94.66,,,,
"Nemesis, Metàfora Sinfónica",José Suñer-Oriola,1,0,0.0,89.17,,,,
"Symphony no. 1, The Archangels",Franco Cesarini,1,0,0.0,88.5,,,,
Epiphanies (Fanfare and Chorales),Ron Nelson,4,0,0.0,89.58,,,,
Symphony no. 2 for Band,John Barnes Chance,2,1,50.0,91.75,,,,
Canto d'ommagio,"Ludvig Irgens Jensen, trans. Lars-Thomas Holm",2,0,0.0,90.5,,,,
Children's Overture,Eugene Bozza,1,0,0.0,91.5,,,,
Seid,Torstein Aagaard-Nilsen,1,0,0.0,90.5,,,,
Spiriti,Thomas Doss,3,0,0.0,94.0,,,,
"Divertimento, 1., 2., 4., 5., 7. og 8. sats","Leonard Bernstein, arr. Clare Grundman",1,0,0.0,92.0,,,,
"Ballet Suite nr 5, The Bolt (2. Bureaucrat's Dance, 3. Draymen's Dance, 8. General Dance and Apotheosis)","Dmitri Shostakovich, arr. Roger Niese",1,0,0.0,89.0,,,,
Shadow Waltzes,Brian Balmages,1,0,0.0,87.5,,,,
Norsk Rapsodi nr. 2,"Johan Halvorsen, arr. Lars-Thomas Holm",1,0,0.0,85.0,,,,
Norwegian Carnival,"Johan Svendsen, arr. Dan Godfrey",2,0,0.0,85.0,,,,
"Symphony no. 2, Voices",James Stephenson,1,0,0.0,83.5,,,,
Hight Flight,Joseph Turrin,1,0,0.0,92.0,,,,
And the multitude with one voice spoke,James L. Hosay,1,0,0.0,91.0,,,,
Exultate,Samuel R. Hazo,3,0,0.0,86.83,,,,
Transcendent Journey,Rossano Galante,1,0,0.0,89.0,,,,
Wind Sketches,Philip Sparke,1,0,0.0,88.5,,,,
Manhattan Pictures,Jan Van der Roost,1,0,0.0,87.0,,,,
"Fanfare, Ballad and Jubilee",Claude T. Smith,1,0,0.0,87.0,,,,
The Red Machine,Peter Graham,1,0,0.0,85.0,,,,
Vientos Y Tangos,Michael Gondolfi,6,0,0.0,84.42,,,,
Rush,Samuel R. Hazo,1,1,100.0,93.0,,,,
Of Ancient Dances,Stephen Bulla,1,0,0.0,90.5,,,,
The Hounds of Spring,Alfred Reed,9,2,22.22,89.44,,,,
Sacred Harp,Jay Bocook,3,0,0.0,88.0,,,,
Sea Songs,Ralph Vaughan Williams,2,0,0.0,89.5,,,,
The Land of the Long White Cloud,Philip Sparke,4,0,0.0,87.38,,,,
Time for Outrage!,Marco Pütz,1,0,0.0,86.0,,,,
subTERRA,Daniel Weinberger,15,4,26.67,88.87,,,,
Isles of the Blessed,Bert Appermont,1,0,0.0,89.0,,,,
Mont Blanc - La Voie Royale,Otto M. Schwarz,4,0,0.0,88.75,,,,
The Junction Point,John Brakstad,1,0,0.0,88.0,,,,
Flying the Breeze,Philip Sparke,1,0,0.0,87.5,,,,
Chorale and Variations,Philip Sparke,3,0,0.0,90.0,,,,
Lebuinus ex Daventria,Peter Kleine Schaars,2,0,0.0,87.5,,,,
The Seventh Night of July,Itaru Sakai,3,0,0.0,90.0,,,,
Abracadabra,Frank Ticheli,1,0,0.0,90.0,,,,
The Witch and the Saint,Steven Reineke,10,0,0.0,87.1,,,,
Solas Ane,Samuel R. Hazo,1,0,0.0,84.0,,,,
Life in the Capital City,Timo Fosström,1,1,100.0,93.0,,,,
Oregon,Jacob de Haan,10,0,0.0,86.65,,,,
William Byrd Suite,Gordon Jacob,3,0,33.33,89.0,,,,
Einstein,Thomas Doss,1,0,0.0,85.0,,,,
Iberian Escapades,Robert Sheldon,1,0,0.0,85.0,,,,
Blue Mambo,Michael Sweeney,1,0,0.0,84.0,,,,
Et Expecto Ressurectionem,Olivier Messiaen,1,1,100.0,96.0,,,,
Panorama,Torstein Aagaard-Nilsen,2,0,0.0,92.75,,,,
Danza de los Duendes,Nancy Galbraith,3,0,0.0,92.11,,,,
Piece of Mind,Dana Wilson,2,0,0.0,92.16,,,,
Dionysiaques,"Florent Schmitt, arr. Jeffrey Steiner",6,1,33.33,91.0,,,,
A Savannah Symphony,Philip Sparke,1,0,0.0,95.0,,,,
"Symphony no. 1, ""La Vall de la Murta""",Andrés Valero-Castells,2,0,0.0,94.25,,,,
Poéme du Feu,Ida Gotkovsky,1,0,0.0,93.0,,,,
Labyrinth,Torstein Aagaard-Nilsen,1,0,0.0,92.0,,,,
L’Homme Armée,Ketil Hvoslef,1,0,0.0,90.0,,,,
Sinfonietta for Concert Band,Ingolf Dahl,3,0,33.33,90.17,,,,
"The Planets, 4. sats Jupiter The Bringer of Jollity",Gustav Holst,1,0,0.0,95.0,,,,
Dawn Flight,Philip Wilby,18,1,5.56,88.56,,,,
Overture on Russian and Kirgiz folk themes,"Dmitri Shostakovich, arr: Steven Walker",1,0,0.0,91.0,,,,
Luces y Sombras,Ferrer Ferran,2,0,0.0,90.75,,,,
Dances from Crete,Adam Gorb,2,0,0.0,87.5,,,,
Kokopelli’s Dance,Nathan Tanouye,1,0,0.0,88.0,,,,
